latitude,longitude
-15.896633,-64.570459
-15.752482,-63.78057
-15.959823,-63.514838
-15.950954,-63.35323
-15.959899,-63.349485
-15.412844,-63.454113
-15.361526,-63.322792
-15.239395,-63.434973
-15.269485,-63.498402
-15.101821,-63.696156
-15.095497,-63.17997
-14.898234,-63.848687
-14.319691,-63.518014
-14.331167,-63.467245
-13.278978,-63.432312
-13.210459,-63.330002
-13.220263,-63.765292
-14.912035,-64.426543
-14.981041,-64.441563
-14.982854,-64.397993
-14.93478,-64.323943
-13.113208,-63.555565
-13.048727,-63.556659
-13.010545,-63.537294
-14.271827,-63.178436
-14.324099,-63.13478
-14.34254,-63.135638
-15.711292,-64.966632
-15.719069,-64.966063
-13.130046,-63.401134
-13.109033,-63.400640
-13.134614,-63.438932
-13.132628,-63.408215
-13.088990,-63.396220
-13.074232,-63.396800
-13.065425,-63.401005
-13.122429,-63.422978
-13.121573,-63.433117
-13.143548,-63.418375
-13.146589,-63.400679
-13.147906,-63.402503
-13.151646,-63.402739
-13.134269,-63.385562
-13.108408,-63.344969
-13.105231,-63.343220
-13.087580,-63.339529
-12.996467,-63.309188
-13.113966,-63.491868
-13.116014,-63.510686
-13.115941,-63.497146
-13.109179,-63.487533
-13.105156,-63.496234
-13.119054,-63.466805
-13.121865,-63.467878
-13.129327,-63.469938
-13.132880,-63.459563
-13.139045,-63.471751
-13.142598,-63.487104
-13.107992,-63.506352
-13.096642,-63.527584
-13.090151,-63.532337
-12.918994,-63.499367
-13.094845,-63.596034
-13.083769,-63.543012
-13.049561,-63.553945
-12.982464,-63.578889
-12.776363,-63.490784
-12.721550,-63.393431
-13.169854,-63.402207
-13.157993,-63.392669
-13.158452,-63.387240
-13.156018,-63.391628
-13.211560,-63.329744
-13.214819,-63.341621
-13.175325,-63.351996
-13.172197,-63.318826
-13.101290,-63.326612
-13.115895,-63.277516
-13.142125,-63.326236
-13.080182,-63.354077
-13.077614,-63.366737
-13.097430,-63.365445
-13.097493,-63.368170
-13.097325,-63.382493
-13.089769,-63.381013
-13.093312,-63.382772
-13.080656,-63.394424
-13.080185,-63.387321
-12.719006,-63.395952
-12.832439,-63.514752
-13.010406,-63.536661
-13.019188,-63.539085
-13.158617,-63.599671
-13.160882,-63.428900
-13.123352,-63.457536
-13.278403,-63.431872
-12.814814,-53.363128
-12.799624,-53.337979
-12.795983,-53.353772
-12.828330,-53.371539
-12.790500,-53.323710
-12.741970,-53.300128
-12.770495,-53.268456
-12.639333,-53.277683
-12.636905,-53.341584
-12.797573,-53.718596
-12.801674,-53.762455
-12.807449,-53.706837
-12.773801,-53.687954
-12.766519,-53.783655
-12.747349,-53.690872
-12.758273,-53.628731
-12.669607,-53.773355
-12.698413,-53.797216
-12.701804,-53.786659
-12.691902,-53.720376
-12.705153,-53.740997
-12.654408,-53.763742
-12.774053,-53.718853
-12.867619,-53.125484
-12.940615,-53.103018
-12.891131,-53.228073
-12.902635,-53.259358
-12.941870,-53.256912
-12.967507,-53.318882
-12.953539,-53.256869
-12.953539,-53.256869
-12.900627,-53.343301
-12.881007,-53.148680
-12.863163,-53.165030
-12.847494,-53.152285
-12.828623,-53.152349
-12.859168,-53.100872
-12.884521,-53.099284
-12.893358,-53.058894
-12.900041,-53.060317
-12.850758,-53.042593
-12.859209,-53.048472
-12.855067,-53.060102
-12.842682,-53.070745
-12.837912,-53.045125
-12.813308,-53.044267
-12.767189,-53.095465
-12.789203,-53.096666
-12.750049,-53.090830
-12.745695,-53.104563
-12.749274,-53.075359
-12.758315,-53.066089
-12.764510,-53.054738
-12.763191,-53.040705
-12.694582,-53.107631
-12.705927,-53.120291
-12.795564,-53.099456
-12.821426,-53.102160
-12.838666,-53.097525
-12.789119,-53.065038
-12.783344,-53.107567
-12.769449,-53.137951
-12.768193,-53.112202
-12.750237,-53.118854
-12.742263,-53.126321
-12.734498,-53.139217
-12.719659,-53.156769
-12.774869,-53.084435
-12.764363,-53.089650
-12.709465,-53.040404
-12.733724,-53.062570
-12.718800,-53.052807
-12.711684,-53.126020
-12.395880,-53.073621
-12.760324,-52.712059
-12.502364,-52.805572
-12.506386,-52.814541
-12.524904,-52.817373
-12.513299,-52.816086
-12.536571,-52.799907
-2.527559,-62.381830
-10.807677,-63.756752
-10.874779,-63.732376
-10.834908,-63.787866
-10.838912,-63.873417
-10.845445,-63.858161
-10.868331,-63.863568
-10.869385,-63.844686
-10.883840,-63.882623
-10.891004,-63.763018
-10.885568,-63.824558
-11.021154,-64.243541
-11.090650,-64.264011
-11.125686,-64.269419
-11.103136,-64.354928
-10.992761,-64.209723
-11.067360,-63.972359
-10.952694,-64.399796
-10.976078,-64.402928
-12.996362,-53.889828
-13.006272,-53.876395
-13.316130,-53.923302
-13.129594,-53.938622
-12.748856,-53.738852
-12.765347,-53.767948
-12.727549,-53.765373
-11.653960,-53.977418
-11.610623,-53.986816
-11.574552,-54.061661
-11.610118,-54.103460
-11.550713,-54.118609
-11.701744,-53.978233
-11.785148,-53.891587
-11.835262,-53.868027
-11.813462,-53.850131
-11.857355,-53.955917
-11.831734,-53.972740
-11.910522,-53.986344
-11.930635,-53.970380
-11.778889,-54.296622
-11.611104,-53.734756
-11.536459,-53.738508
-11.477922,-53.556418
-11.435441,-53.507280
-11.414156,-53.521657
-11.398507,-53.621668
-11.395310,-53.592829
-11.439395,-53.713507
-11.419456,-53.782024
-11.410496,-53.788762
-11.412600,-53.813181
-11.662534,-53.850775
-11.664425,-53.918924
-11.676193,-53.920898
-11.691154,-53.928237
-11.548127,-53.825412
-11.580522,-53.868284
-11.610833,-53.877511
-11.626302,-53.883305
-11.648580,-53.895965
-11.641224,-53.902831
-12.498251,-53.856865
-12.512688,-53.831568
-12.522851,-53.910813
-12.544971,-53.908324
-12.562376,-53.919697
-12.568303,-53.901372
-12.590586,-53.315277
-12.516819,-53.272319
-12.458137,-53.297875
-12.492392,-53.248158
-12.570900,-53.301630
-13.433285,-53.882060
-13.473583,-53.878047
-13.527424,-53.831753
-13.529855,-53.817215
-13.503744,-53.816829
-13.514458,-53.819479
-13.513707,-53.813685
-13.520477,-53.815842
-13.524065,-53.811239
-13.564504,-53.736749
-13.564129,-53.745933
-13.517619,-53.738648
-13.512309,-53.737704
-13.502617,-53.739892
-13.531388,-53.713338
-13.503775,-53.721846
-13.382439,-53.750181
-13.385904,-53.767262
-13.381541,-53.800242
-13.356406,-53.767304
-13.325318,-53.766017
-12.963994,-53.555260
-12.972797,-53.564680
-12.979635,-53.561311
-12.891884,-53.679371
-12.878810,-53.668041
-12.895021,-53.656218
-12.993790,-53.450332
-12.965688,-53.526185
-12.891423,-53.484020
-12.876530,-53.473978
-12.939235,-53.527242
-12.793597,-53.487754
-12.674757,-53.569036
-12.656711,-53.542986
-12.681456,-53.508654
-12.693179,-53.502603
-12.682712,-53.634095
-12.727194,-53.701901
-12.736759,-53.702052
-12.683717,-53.669114
-12.703897,-53.687568
-12.686104,-53.694606
-12.721689,-53.619246
-12.669984,-63.795912
0.623076,-55.711842
0.631637,-55.758641
0.841614,-58.019559
0.806685,-57.996127
0.823002,-58.186941
4.587975,-58.969245
4.592338,-59.032803
4.653529,-59.049196
4.468850,-59.116101
4.359163,-59.175110
4.217383,-59.244547
4.172271,-59.247959
2.885694,-58.504772
-8.259824,-68.413582
-8.229499,-68.456841
-8.455945,-68.542156
-8.441130,-68.572454
-8.492067,-68.624725
-8.495208,-68.580265
-8.556578,-68.624725
-8.572025,-68.647127
-8.545035,-68.748236
-6.364904,-66.597834
-6.410496,-66.715164
-6.370875,-66.742072
-6.451691,-67.594757
-6.514586,-67.461677
-6.498852,-67.317352
-6.395014,-67.555146
-6.363624,-67.628660
-6.301436,-67.746334
-6.285439,-67.707367
-6.304229,-67.774293
-6.328244,-67.837443
-6.271106,-67.690330
-6.257882,-67.681789
-6.273815,-67.653315
-6.305317,-67.651577
-6.194784,-67.673764
-6.181430,-67.704835
-6.143243,-67.596474
-6.039932,-67.705393
-6.144608,-67.641749
-6.052052,-66.937509
-6.019403,-66.891010
-6.035130,-66.856055
-6.052222,-66.929312
-6.043602,-66.933775
-6.837210,-66.032166
-6.833779,-66.057401
-6.798987,-66.012297
-6.685664,-66.038132
-6.638861,-66.138725
-2.427145,-62.288597
-2.514482,-62.418931
-2.505071,-62.420454
-2.509573,-62.458434
-2.525265,-62.400627
-2.549145,-62.391958
-2.570453,-62.408867
-2.563551,-62.444787
-2.542114,-62.492723
-2.488565,-62.453070
-2.460095,-62.413630
-2.462925,-62.430625
-2.459538,-62.465000
-2.452206,-62.404318
-2.390378,-62.472639
-2.472422,-62.370307
-2.549188,-62.336855
-2.572125,-62.414918
-2.609734,-62.516381
-2.612435,-62.517078
-2.612113,-62.530049
-2.629626,-62.528998
-2.607012,-62.535467
-2.605522,-62.521262
-2.627000,-62.537699
-2.633967,-62.571366
-2.618640,-62.565358
-2.670148,-62.646124
-2.667619,-62.656488
-2.669955,-62.660029
-12.883182,-53.724432
-12.912967,-53.690014
-12.951615,-53.716879
-12.970978,-53.823094
-12.918195,-53.832793
-13.020530,-53.896008
-10.707601,-64.225527
-10.721364,-64.304438
-10.730222,-64.304352
-10.729354,-64.249395
-10.746156,-64.310982
-10.792095,-64.299846
-10.766844,-64.036818
-10.785393,-64.039950
-10.800303,-63.994343
-10.722988,-63.966351
-10.876864,-64.009266
-10.655694,-64.076042
-11.000571,-63.792114
-10.988626,-63.768039
-10.994519,-63.843012
-11.007261,-63.692079
-11.024451,-63.682809
-11.021755,-63.657832
-11.026010,-63.717785
-11.017626,-63.646803
-10.999662,-63.658798
-11.097988,-64.195540
-10.822345,-64.261265
-10.694477,-64.423914
-11.730407,-63.610636
-11.757991,-63.748298
-11.697554,-63.754134
-11.611618,-63.764788
-11.621045,-63.801963
-11.620142,-63.793970
-11.627951,-63.812553
-11.629885,-63.807392
-11.605421,-63.767277
-11.485632,-63.690683
-11.486305,-63.681741
-11.336503,-63.747869
-11.313482,-63.739500
-11.361462,-63.704567
-11.222367,-63.829751
-11.180953,-63.760378
-11.266219,-63.802049
-11.265462,-63.795912
-11.372912,-63.880520
-10.926463,-63.212843
-10.925873,-63.223271
-10.925873,-63.223271
-10.897473,-63.233871
-10.834961,-63.207908
-10.807810,-63.196342
-10.793771,-63.183424
-10.787576,-63.153749
-10.756083,-63.188124
-10.768055,-63.182952
-10.748159,-63.186750
-10.748201,-63.201213
-10.724562,-63.192801
-10.712859,-63.195977
-10.697866,-63.184433
-11.068885,-63.360064
-11.048669,-63.527713
-14.994800,-64.646559
-12.897489,-63.342361
-13.054417,-63.356491
-13.451734,-62.875786
-13.426971,-62.751578
-13.703000,-62.650952
-13.755101,-62.536476
-13.164478,-63.586099
-13.200423,-63.477126
-13.240426,-63.448899
-11.935547,-69.996300
-11.269010,-70.261431
-11.673020,-70.088300
-11.650040,-70.131322
-11.491159,-70.487798
-11.644503,-71.258183
-11.634247,-71.223764
-11.600113,-71.193638
-11.589057,-71.281121
-11.674428,-72.072201
-11.648186,-72.876987
-11.831902,-73.073502
-11.262424,-72.304802
-11.030210,-71.495547
-10.996489,-71.016612
-10.987790,-71.007482
-11.009906,-70.707836
-10.507054,-72.456722
-10.551609,-72.518349
-8.479737,-70.897136
-8.613780,-70.866387
-8.439857,-70.652132
-8.254983,-70.722599
-8.191813,-70.721333
-9.282822,-69.026971
-9.217677,-69.143829
-9.351851,-70.470085
-12.505109,-72.224765
-12.518201,-72.155843
-12.993717,-63.607460
-14.537934,-64.030552
-14.958177,-64.584610
-15.219409,-64.158365
-12.889541,-63.107014
-12.854356,-63.293996
-12.692844,-63.915839
-12.658386,-63.883953
-12.665902,-63.943799
-12.722066,-63.849149
-12.695315,-63.797886
-12.702934,-63.778038
-12.619149,-63.738899
-12.654324,-63.742397
-12.661233,-63.833045
-12.661233,-63.833045
-12.660595,-63.661931
-12.647049,-63.679118
-11.637946,-64.097157